Sleep On, Date, Hour, Real (out), Imaginary (out)
0,Mar 08 - 2018,0:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:48,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:51,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:54,0.0000000000,0.0000000000
0,Mar 08 - 2018,0:57,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:00,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:48,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:51,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:54,0.0000000000,0.0000000000
0,Mar 08 - 2018,1:57,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:00,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:48,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:51,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:54,0.0000000000,0.0000000000
0,Mar 08 - 2018,2:57,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:00,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:48,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:51,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:54,0.0000000000,0.0000000000
0,Mar 08 - 2018,3:57,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:00,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:48,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:51,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:54,0.0000000000,0.0000000000
0,Mar 08 - 2018,4:57,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:00,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:48,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:51,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:54,0.0000000000,0.0000000000
0,Mar 08 - 2018,5:57,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:00,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:48,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:51,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:54,0.0000000000,0.0000000000
0,Mar 08 - 2018,6:57,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:00,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:03,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:06,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:09,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:12,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:15,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:18,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:21,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:24,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:27,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:30,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:33,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:36,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:39,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:42,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:45,0.0000000000,0.0000000000
0,Mar 08 - 2018,7:48,0.0000000000,0.0000000000
